id;title;release_date;genre;description;budget;gross_earnings;world_wide_earnings
628;Mother's Boys;5/27/1994;Drama, Thriller;Jude Madigan abandons her husband Robert and her three sons without any explanation. Three years later Jude inexplicably returns to reunite her family. However Robert and his new lover ...;8000000.0;737548.0;737548.0
629;Mr. Jones;10/8/1993;Drama, Romance;After being arrested during a manic episode, a man who suffers from bipolar disorder is treated by a psychiatrist who begins to develop romantic feelings towards him.;25000000.0;8345845.0;8345845.0
630;Mr. Nanny;7/9/1993;Action, Comedy, Family;A former professional wrestler is hired to be the bodyguard/nanny for a couple of bratty kids whose inventor father is being stalked by a rival.;10000000.0;4348572.0;4348572.0
631;Mr. Wonderful;4/22/1994;Comedy, Romance;In an attempt to end alimony payments, a working class man tries to set up his ex wife with potential husbands.;13000000.0;3125424.0;3125424.0
632;Mrs. Doubtfire;1/28/1994;Comedy, Drama, Family;After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.;25000000.0;219195243.0;441286195.0
633;Much Ado About Nothing;9/10/1993;Comedy, Drama, Romance;Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.;11000000.0;22549338.0;22549338.0
634;My Boyfriend's Back;8/6/1993;Comedy, Fantasy, Horror;A teenage boy comes back from the dead because he is determined to win the most beautiful girl in school.;12000000.0;3335984.0;3335984.0
635;My Life;5/20/1994;Drama;A terminally ill man prepares for his death.;15000000.0;27804899.0;27804899.0
636;My Life's in Turnaround;6/17/1994;Comedy, Drama, Romance;"Two Manhattan slacker dudes, best friends, want to make a movie about their lives. Splick drives a hack, Jason tends bar; each has a stuttering relationship with a down-to-earth woman. But ...";22000.0;163383.0;163383.0
637;Loaded Weapon 1;5/28/1993;Action, Comedy, Crime;A spoof on;13000000.0;27979399.0;27979399.0
638;The Night We Never Met;4/30/1993;Comedy, Romance;Brian, painter Ellen and chef Sam timeshare an apartment on different days. A shift on Mon/Wednesdays causes mistaken identity as Ellen and Sam have never met but leave notes, food etc. behind for each other.;8000000.0;1884814.0;1884814.0
639;The Nightmare Before Christmas;12/16/1994;Animation, Family, Fantasy;Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.;18000000.0;75082668.0;88170974.0
640;Nowhere to Run;6/18/1993;Action, Drama, Romance;Escaped convict Sam Gillen single handedly takes on ruthless developers determined to evict Clydie - a widow with two young children. Nobody knows who Sam is.;15000000.0;22189039.0;22189039.0
641;The Nutcracker;11/24/1993;Family, Fantasy, Music;On Christmas Eve, a little girl named Marie (Cohen) falls asleep after a party at her home and dreams herself (or does she?) into a fantastic world where toys become larger than life. Her ...;19000000.0;2119994.0;2119994.0
642;Once Upon a Forest;10/22/1993;Animation, Adventure, Drama;A young mouse, mole and hedgehog risk their lives to find a cure for their badger friend, who\'s been poisoned by men.;13000000.0;6582052.0;6582052.0
643;Only the Strong;8/27/1993;Action, Drama;Ex-Special Forces soldier Louis Stevens returns to Miami to find his former high school overrun by drugs and violence. A master of the Brazilian martial art, capoeira, Stevens pledges to ...;6000000.0;3283371.0;3283371.0
644;Orlando;6/11/1993;Biography, Drama, Fantasy;Young nobleman Orlando is commanded by Queen Elizabeth I to stay forever young. Miraculously, he does just that. The film follows him as he moves through several centuries of British ...;4000000.0;5377643.0;5377643.0
645;The Pelican Brief;2/25/1994;Crime, Drama, Mystery;A law student uncovers a conspiracy, putting herself and others in danger.;45000000.0;100768056.0;195268056.0
