movieid,title,mpaa_rating,budget,gross,release_date,genre,runtime,rating,rating_count,summary
105,Speed,R,30000000,350448145,6/9/1994,Action,116,7.2,309338,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.
106,Legends of the Fall,R,30000000,160638883,12/16/1994,Drama,133,7.5,136361,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
107,Star Trek: Generations,PG,38000000,120000000,11/17/1994,Science Fiction,118,8.5,869127,"With the help of long presumed dead Captain Kirk, Captain Picard must stop a deranged scientist willing to murder on a planetary scale in order to enter a space matrix."
108,The Lion King,G,45000000,788241776,6/23/1994,Animation,89,8.5,869127,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his fathers death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
109,The Client,PG-13,45000000,117615211,7/20/1994,Drama,119,6.7,55788,A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.
110,The Specialist,R,45000000,170362582,10/7/1994,Action,110,5.6,59371,A woman entices a bomb expert shes involved with into destroying the mafia that killed her family.
111,The Flintstones,PG,46000000,341631208,5/26/1994,Family,91,4.9,71389,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money cant buy happiness."
112,Forrest Gump,PG-13,55000000,677945399,7/6/1994,Comedy,142,8.8,1657851,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
113,Stargate,PG-13,55000000,196567262,10/27/1994,Science Fiction,121,7.1,167516,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
114,Disclosure,R,55000000,214015089,12/9/1994,Drama,123,6.1,43455,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life."
115,Interview with the Vampire,R,60000000,223664608,11/11/1994,Horror,123,6.9,83296,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger."
116,Clear and Present Danger,PG-13,62000000,215887717,8/3/1994,Thriller,141,6.9,83296,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.
117,Wolf,R,70000000,131000000,6/17/1994,Fantasy,125,6.2,49903,Publisher Will Randall becomes a werewolf and has to fight to keep his job.
118,Maverick,PG,75000000,183000000,5/20/1994,Action,127,7,96405,"Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief."
119,True Lies,R,115000000,378882411,7/14/1994,Action,141,7.2,223671,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman while terrorists smuggle nuclear war heads into the United States."
120,While You Were Sleeping,PG,17000000,182057016,4/21/1995,Romance,103,6.7,85626,A hopeless romantic Chicago Transit Authority token collector is mistaken for the fianc�e of a coma patient.
121,Dangerous Minds,R,23000000,179519401,8/11/1995,Crime,99,6.5,45479,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
122,Grumpier Old Men,PG-13,25000000,71500000,12/22/1995,Comedy,101,6.7,22759,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Maxs attention."
123,Father of the Bride Part II,PG,30000000,76578911,2/10/1995,Comedy,106,6,31971,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife."
124,Toy Story,G,30000000,373554033,10/30/1995,Animation,81,8.3,820625,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room.
125,Ace Ventura: When Nature Calls,PG-13,30000000,212385533,11/10/1995,Comedy,90,6.4,191266,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
126,Get Shorty,R,30250000,115101622,10/20/1995,Comedy,105,6.9,72078,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
127,Mr. Holland's Opus,PG,31000000,106269971,12/29/1995,Family,137,7.3,33906,A frustrated composer finds fulfillment as a high school music teacher.
128,Se7en,R,33000000,327311859,9/22/1995,Action,127,8.6,1323681,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
129,Casper,PG,50000000,287928194,5/26/1995,Family,100,6.1,110490,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
130,Congo,PG-13,50000000,152022101,6/9/1995,Drama,109,5.2,39870,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
131,Apollo 13,PG,52000000,355237933,6/30/1995,Drama,140,7.6,250975,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
132,Crimson Tide,R,53000000,157387195,5/12/1995,Thriller,116,7.3,95145,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny, to prevent his trigger happy Captain from launching his missiles, before confirming his orders to do so."
133,Pocahontas,G,55000000,346079773,6/14/1995,Animation,81,6.7,156670,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
134,GoldenEye,PG-13,58000000,352194034,11/16/1995,Action,130,7.2,226013,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as Goldeneye is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."
135,Jumanji,PG,65000000,262797249,12/15/1995,Family,104,7,277496,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game."
136,Braveheart,R,72000000,210000000,5/24/1995,Action,177,8.3,907287,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
137,Die Hard: With a Vengeance,R,90000000,366101666,5/19/1995,Thriller,128,5.4,224254,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."
138,Batman Forever,PG-13,100000000,336529144,6/16/1995,Action,121,5.4,224254,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
139,Waterworld,PG-13,175000000,264218220,7/28/1995,Action,135,6.2,169984,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw smokers, and reluctantly helps a woman and a young girl try to find dry land."
140,Scream,R,14000000,173046663,12/20/1996,Horror,111,7.2,267513,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game."
141,The First Wives Club,PG,26000000,116400000,9/20/1996,Comedy,102,6.4,39451,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women."
142,The English Patient,R,27000000,231976425,11/14/1996,War,162,7.4,168450,"At the close of WWII, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair."
143,The Birdcage,R,31000000,185260553,3/8/1996,Comedy,117,7.1,74466,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fianc�es right-wing moralistic parents.
144,Phenomenon,PG,32000000,152036382,7/5/1996,Drama,123,6.4,71796,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis."
145,A Time to Kill,R,40000000,152266007,7/24/1996,Crime,149,7.5,121642,"In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan."
146,Star Trek: First Contact,PG-13,46000000,150000000,11/21/1996,Science Fiction,111,7.6,111959,The Borg travel back in time intent on preventing Earths first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.
